,url_len,path_len,num_dots,path_dots,num_hyphens,num_underscores,num_at,num_qmark,num_equal,num_amp,num_percent,num_digits,num_letters,num_subdirs,num_frag,num_special,num_repeating,num_upper,num_non_ascii,num_slashes,num_params,ratio_digits,ratio_letters,url_entropy,ip_flag,subdomain_parts,has_multi_subdomain,tld_len,risky_tld,https_flag,shortened,sus_words,brand_mismatch,puny,susp_ext,suspicious_port,max_consonants,max_vowels,max_digits,leet_speak_score,homoglyph_suspicious,encoding_ratio,punycode_suspicious,subdomain_spam_score,visual_brand_similarity,brand_in_domain,leet_in_domain,brand_hyphen_suspicious,domain_len,domain_digit_ratio,max_domain_digits,path_depth,has_redirect,double_slash_in_path,abnormal_subdomain,http_no_brand_no_age,leet_brand_score,label
num_percent,0.23331706715920214,0.02615730729734804,0.24666688954554636,0.021273141436193303,0.05879492861064655,0.1708809761696504,0.002977782979339638,0.08060167001412634,0.22610832274252327,0.21094677608719267,1.0,0.34645088773370397,0.17802440995622265,0.004652743438027727,0.002259731722279225,0.16040714034025902,0.13458392498972765,,0.0030906874812490098,0.025192120862759973,0.21031450360781526,0.08874475908610747,-0.0706070432249782,0.10435441687445787,,0.06528816757350839,0.11086658628771595,-0.003562390471042391,-0.012567311121930337,-0.013803692067379403,-0.006527714620873549,0.007530799785438377,-0.006216412899460074,0.001865814163802817,-0.003992407145691542,-0.0016855643863965628,0.16383253420991717,0.15639599063224274,0.09136451496904822,0.0048781742064696295,0.0026570835175372103,0.5812561687467486,-0.001635650608617161,0.07870846529607702,0.0904923626697846,-0.0054181270876603686,-0.0020538544944898153,-0.005140444689702142,-0.014319929003587948,-0.002990464798044587,-0.00438688802780534,0.012381808301766052,0.0423254811923252,0.0028960232608089484,-0.0024372413657975083,-0.00048069762215251314,-0.0029175844044402716,0.02580350780908849
num_digits,0.9052268762312071,0.24116013959753038,0.3336971923649198,0.11851391278839363,0.18092352340752,0.15970930418385224,0.04531148831632042,0.19129258601347848,0.3815176899268601,0.3687576578714168,0.34645088773370397,1.0,0.8578858611595696,0.17450770268389668,0.1282149704213535,0.40485871376325605,0.10795699420393996,,0.0011035065183611667,0.21719939187601184,0.3816913372534368,0.45413221567477946,-0.3469131054391651,0.3844603468994283,,0.13204815114178461,0.09338345121058214,0.03271324139130837,-0.00971218398603357,0.00039266987893512786,-0.01618724636339793,0.04397531846558768,-0.017992186193315985,2.9844465254436564e-05,0.002628315483337993,0.014609294100654016,0.22063861189281347,0.1303022502865078,0.4141583867489612,0.13572502073200873,0.0009111334080355351,0.14621803143036827,-2.7395330472079106e-05,0.08159463447714997,0.10662031578470607,-0.023777581449229358,0.04189666495948574,-0.019308567840893843,0.010656704398479891,0.0774064809893608,0.05999343450723196,0.1776671512839723,0.04322689352164417,0.011088963942437241,0.11346393387826402,0.03960386605352253,-0.008777462008167888,0.11888624967014105
num_letters,0.993095101673362,0.26383333997619873,0.2183352974534182,0.1159982775249249,0.17579697259421595,0.15867928119341793,0.0446449252985094,0.14488676155572242,0.26699648184518426,0.23572578259714086,0.17802440995622265,0.8578858611595696,1.0,0.20406301424803278,0.09685114865702202,0.36649859451253747,0.07567871546483106,,0.0012802073051947453,0.24874060849991853,0.2580256465863183,0.09184708149560493,0.010798895997567209,0.27948401582538823,,0.09834793404065832,0.06132740490211201,0.030976646173671993,-0.0073406927693579534,-0.04849866114788387,-0.03036374717890039,0.04319523677325747,-0.0038306121362141014,-0.0010407882272721089,-0.004345998524943473,0.008460342696552176,0.21440840098405392,0.12622347089624741,0.12956349721979482,-0.01062489663936585,-0.00016237417434765737,0.0705692038106365,-0.0013929722580979457,0.05819082655357489,0.0648475794943221,-0.00992376406648685,-0.015911227444318464,-0.006190366207184398,0.04982223319424728,-0.021265501464240884,-0.01755959749387044,0.20884661945163638,0.04512542938221127,0.009049969985110786,0.002205955939774343,0.03968534327077617,-0.0062767931282936736,0.057764581372849004
num_subdirs,0.22922921949852923,0.7336238809583866,0.23146644721254322,0.3167804536648041,0.23979098726504552,0.15932576756342798,0.07724343140839776,0.1160488102015592,0.17617058188829526,0.1469190899151936,0.004652743438027727,0.17450770268389668,0.20406301424803278,1.0,0.02611632208624402,0.13436996362128348,0.05081272702578146,,-3.0452776241322875e-06,0.9354539468570129,0.17053776469706056,0.18479858220267154,-0.07246054046107993,0.45957542479591007,,-0.0018028251573878344,-0.008451918489271109,0.07088378167066314,-0.06906089228565168,-0.27968940375123236,-0.07134089262680847,0.10177336787019266,-0.04321897666135317,-0.004623538434290735,0.03078476465556489,0.038677932549967126,0.027829561650002086,0.11316816108105233,0.28084632971891077,-0.08217486906886329,-0.0018598877830077038,0.004752280851985181,-0.0032881574872387093,0.003245346549699082,0.12917528425144872,-0.042533549647954215,-0.024919834708275215,-0.027913758453805674,0.03964953143243655,-0.05127951255851117,-0.045630085612251764,0.967535637815527,0.0024290264989040673,0.047105402148552765,-0.0651190902486021,0.0954218133490586,-0.01776911443945373,0.03326399850033057
num_frag,0.10835527756749579,0.011573446765452026,0.17805242302326804,0.022853016810841672,0.00024650368156326467,0.004653799838031654,0.17365949228492802,0.062035890720297526,0.12601044846920365,0.1706426802658709,0.002259731722279225,0.1282149704213535,0.09685114865702202,0.02611632208624402,1.0,0.019189830139036048,0.03860759716994353,,-0.0005273467203534369,0.0407092473574039,0.13324706400303768,0.06194460994558227,-0.05080393207047147,0.075633567432582,,0.02803498961682316,0.03702715703689753,0.0015183780773198139,-0.0061629969313328975,0.032794444209673965,0.001399792286012711,0.009897848879691112,0.010134193587442102,-0.0013051011502380168,-0.004134561613442775,0.0009517465509968435,0.04947874558441076,0.05028868856212162,0.0628745087139477,0.02451672597288916,-0.00027504336660322937,0.003196880533846588,-0.0012603362790793412,0.030262366896941027,0.01747039443253857,0.011207891957995545,0.011092601673162903,-0.004024847037927622,-0.004448589759087013,0.01228693312428843,0.00517259823618174,0.02576944733143004,0.005811472043453389,0.007238831624506738,0.028329816185337014,-0.002542146064266949,-0.002248119159935324,0.04825319518928054
num_special,0.40575324362335313,0.1732980473941725,0.3818611397519036,0.06853755802255972,0.038081026882405306,0.1683134867398398,0.11019978425665955,0.23574988262811336,0.5640772597159373,0.6081024318673796,0.16040714034025902,0.40485871376325605,0.36649859451253747,0.13436996362128348,0.019189830139036048,1.0,0.08639762478805758,,0.0029946337487929586,0.16735332642260772,0.5937106736010705,0.10700417157366474,-0.08435113157910076,0.2571043139735115,,0.0660694413426612,0.03792692913713238,0.007289424612821192,-0.010731116757466467,-0.019882653285800998,-0.015024988771126544,0.035708905154274294,-0.010089270742784807,-0.004342891812770375,-0.011251191198670105,-0.0061884681304567295,0.1495897271887069,0.08725188293647468,0.16189502609310347,-0.005488352179111837,-0.0009152421517367438,0.04604498502865871,-0.004193930950679991,0.03044787971518964,0.04685567726716445,-0.014954162194083187,0.005017888493854084,-0.010192524952484319,0.0025073946966920075,-0.009174849724947046,-0.004873872933485719,0.13460568083591706,0.08545658303166088,0.0007722862659942989,0.0009144009592959551,0.035639070129360614,-0.0002901948992904274,0.0619992676963196
num_repeating,0.0921981160025389,0.07215554731420078,0.0762681325723626,0.026386437731913244,0.0358101539053894,0.20623137150640458,0.0022229789882122664,0.27970874561801434,0.11208667152770593,0.09260911033881224,0.13458392498972765,0.10795699420393996,0.07567871546483106,0.05081272702578146,0.03860759716994353,0.08639762478805758,1.0,,-9.997203198250678e-06,0.056285289316871795,0.1024798269953731,0.06538770665972264,-0.04890672704479141,0.05225583090227542,,0.06207721920209867,0.030349405474178245,0.004562650698391655,0.003790193638900802,0.01660252771259049,-0.008474801473213578,0.0023839810272239374,-0.007990725893643169,0.006016997354871252,0.0033624588917051217,-0.00010039035729388989,0.09687310007754717,0.7042301249607698,0.0832208040746658,0.012582873677077963,0.00027715082553386576,0.032546081594928986,0.004943205628709576,0.026949444326614686,0.012124944716300374,-0.008419613210741143,-0.0003645410695305122,-0.006423029394347425,0.006447968153189425,0.003060821219275077,0.0020679453733670134,0.05037173442520421,0.006483278953675671,0.0028888309087531814,0.010887193814571008,0.005145921434409661,-0.003649285081836158,0.051094646928938246
num_upper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
num_non_ascii,0.0017066284320808687,0.00388051515604813,0.0043573115053528065,0.0031814575482534634,0.000822283014310876,0.0030299299457397498,0.012931908405696595,0.0053110951294138955,-0.0012679208349125803,-0.0018435233113496177,0.0030906874812490098,0.0011035065183611667,0.0012802073051947453,-3.0452776241322875e-06,-0.0005273467203534369,0.0029946337487929586,-9.997203198250678e-06,,1.0,0.0017379897987980285,0.0005005954290073412,0.0029760066752043354,-0.004419399783811413,0.014906062773128136,,0.004156981493385513,0.0022419653991195628,-0.0009432465164059115,-0.002628394874589864,-0.004060963981345926,-0.0011507189946627896,-0.0022750512131632776,-1.5086855217711953e-05,-0.00029558900056549813,0.021871101834315468,-0.00043116277815646593,-0.0006771856267548964,8.419904840330183e-05,0.004443618538700144,0.00414410530822549,0.8621934018846338,0.002786678652959103,-0.00028545032010856436,0.00407572459641128,-0.0014329920544469395,0.0003457353624019218,0.004181669841688526,-0.0009115772468310783,-0.003353143940784232,0.004797179503246112,0.00259393767338491,0.001454083706994212,-0.0005868608111580761,-0.00028894100568524527,-0.00012701906290118553,-0.0029827694765598625,-0.0005091707225269404,0.00019400133707724387
num_slashes,0.27787478547445266,0.7288773113908918,0.2918605627566527,0.34370171609405836,0.2537770584781804,0.1783858366711255,0.07927991867846572,0.18699859600791507,0.23442767813178225,0.18102955342405794,0.025192120862759973,0.21719939187601184,0.24874060849991853,0.9354539468570129,0.0407092473574039,0.16735332642260772,0.056285289316871795,,0.0017379897987980285,1.0,0.22444869306291684,0.21203024819978208,-0.11448144396062947,0.5284970142003137,,-0.0001767421624119643,-0.0026952212367973814,0.0395352478500159,-0.060494198163797544,-0.3488586567379322,-0.045640888233904366,0.13717778366940855,-0.03288263554379033,-0.009095266752143486,0.036986605255955526,0.03424894376721379,0.020446531892999553,0.12475905942932537,0.30380418439926066,-0.09176271409143162,-0.00023983390642430172,0.014181078507483359,-0.007980462007567631,0.009232146799297177,0.14313934086634833,-0.028877807483316958,-0.029096058936706116,-0.01287428095360979,0.024444303160410207,-0.053062282378693884,-0.057178065056415456,0.9607772077654272,0.05894731295395675,0.04311114051671305,-0.06983914310453508,0.13622486132725017,-0.012570345411009246,0.08482092452502839
