Feature_1,Feature_2,Correlation,Abs_Correlation
num_slashes,visual_brand_similarity,0.14313934086634833,0.14313934086634833
https_flag,leet_speak_score,0.1421522437147124,0.1421522437147124
url_len,max_vowels,0.1393186823956837,0.1393186823956837
path_len,visual_brand_similarity,0.13894278379369895,0.13894278379369895
num_dots,num_underscores,0.13870833773814756,0.13870833773814756
https_flag,abnormal_subdomain,0.13853546568530714,0.13853546568530714
num_amp,ratio_letters,-0.13752023578929715,0.13752023578929715
risky_tld,leet_brand_score,0.1373650789573677,0.1373650789573677
num_slashes,sus_words,0.13717778366940855,0.13717778366940855
path_len,max_consonants,0.13674182814597846,0.13674182814597846
domain_len,http_no_brand_no_age,0.13668623724956674,0.13668623724956674
path_dots,domain_len,0.13653397982360715,0.13653397982360715
abnormal_subdomain,label,0.13631316242923266,0.13631316242923266
num_slashes,http_no_brand_no_age,0.13622486132725017,0.13622486132725017
url_entropy,visual_brand_similarity,0.13620382945767542,0.13620382945767542
path_dots,sus_words,0.13608546661555598,0.13608546661555598
num_digits,leet_speak_score,0.13572502073200873,0.13572502073200873
url_len,path_dots,0.1351527448736947,0.1351527448736947
num_special,path_depth,0.13460568083591706,0.13460568083591706
num_percent,num_repeating,0.13458392498972765,0.13458392498972765
url_entropy,has_multi_subdomain,0.13448840197294076,0.13448840197294076
num_subdirs,num_special,0.13436996362128348,0.13436996362128348
visual_brand_similarity,path_depth,0.13388168825716726,0.13388168825716726
visual_brand_similarity,label,0.1337400019386559,0.1337400019386559
num_hyphens,ratio_letters,-0.13365328719183375,0.13365328719183375
num_equal,max_vowels,0.13342121625049957,0.13342121625049957
num_amp,has_redirect,0.1332554669954557,0.1332554669954557
num_frag,num_params,0.13324706400303768,0.13324706400303768
max_digits,leet_in_domain,0.13267211841896448,0.13267211841896448
brand_in_domain,domain_len,0.13221177572467332,0.13221177572467332
num_digits,subdomain_parts,0.13204815114178461,0.13204815114178461
num_digits,max_vowels,0.1303022502865078,0.1303022502865078
path_dots,susp_ext,0.1298900500339346,0.1298900500339346
num_letters,max_digits,0.12956349721979482,0.12956349721979482
shortened,domain_len,-0.12939451786191863,0.12939451786191863
num_subdirs,visual_brand_similarity,0.12917528425144872,0.12917528425144872
num_digits,num_frag,0.1282149704213535,0.1282149704213535
num_qmark,ratio_letters,-0.12811498214110373,0.12811498214110373
url_entropy,leet_speak_score,0.12779896725389567,0.12779896725389567
url_entropy,abnormal_subdomain,0.12742462576608504,0.12742462576608504
num_params,max_vowels,0.127262465173647,0.127262465173647
num_dots,max_consonants,0.1268222599632575,0.1268222599632575
num_dots,max_vowels,0.12670653119561115,0.12670653119561115
num_letters,max_vowels,0.12622347089624741,0.12622347089624741
num_equal,num_frag,0.12601044846920365,0.12601044846920365
ratio_letters,label,-0.1255778955489454,0.1255778955489454
num_slashes,max_vowels,0.12475905942932537,0.12475905942932537
num_params,label,0.1224207784268673,0.1224207784268673
brand_mismatch,domain_len,0.12197823268776642,0.12197823268776642
url_entropy,domain_len,0.12189591264353361,0.12189591264353361
max_vowels,path_depth,0.12160444381195866,0.12160444381195866
num_dots,visual_brand_similarity,0.12133794233768926,0.12133794233768926
path_dots,num_equal,0.12133247766318622,0.12133247766318622
subdomain_parts,max_digits,0.12050079516425932,0.12050079516425932
num_at,num_equal,0.11944692554634374,0.11944692554634374
num_at,num_qmark,0.11942716868117949,0.11942716868117949
num_qmark,path_depth,0.11897000052028542,0.11897000052028542
num_digits,label,0.11888624967014105,0.11888624967014105
num_equal,label,0.11873748676236508,0.11873748676236508
path_dots,num_digits,0.11851391278839363,0.11851391278839363
url_entropy,subdomain_spam_score,0.11843285634570411,0.11843285634570411
path_dots,num_qmark,0.11804498471850583,0.11804498471850583
num_equal,subdomain_parts,0.11747436402868572,0.11747436402868572
num_dots,http_no_brand_no_age,0.11690502508753398,0.11690502508753398
https_flag,shortened,0.11650148931426023,0.11650148931426023
num_qmark,num_subdirs,0.1160488102015592,0.1160488102015592
path_dots,num_letters,0.1159982775249249,0.1159982775249249
https_flag,max_digits,-0.11586983579985645,0.11586983579985645
num_at,num_amp,0.11569480114550715,0.11569480114550715
url_len,subdomain_parts,0.11488904440352549,0.11488904440352549
num_slashes,ratio_letters,-0.11448144396062947,0.11448144396062947
sus_words,domain_len,0.114228703119457,0.114228703119457
num_dots,leet_speak_score,0.11381227172561084,0.11381227172561084
num_amp,label,0.11369153893324131,0.11369153893324131
num_digits,abnormal_subdomain,0.11346393387826402,0.11346393387826402
num_subdirs,max_vowels,0.11316816108105233,0.11316816108105233
num_equal,num_repeating,0.11208667152770593,0.11208667152770593
num_amp,max_vowels,0.1117997144988507,0.1117997144988507
path_dots,ratio_digits,0.11130470841296801,0.11130470841296801
has_redirect,http_no_brand_no_age,0.11115266362644514,0.11115266362644514
path_dots,num_params,0.11088934734465522,0.11088934734465522
tld_len,shortened,-0.11087899938791643,0.11087899938791643
num_percent,has_multi_subdomain,0.11086658628771595,0.11086658628771595
tld_len,subdomain_spam_score,0.11053428526051004,0.11053428526051004
max_consonants,domain_len,-0.11046832205600958,0.11046832205600958
brand_hyphen_suspicious,domain_len,0.11027997448001046,0.11027997448001046
num_at,num_special,0.11019978425665955,0.11019978425665955
num_dots,abnormal_subdomain,0.11019587077438173,0.11019587077438173
sus_words,path_depth,0.10993942061213394,0.10993942061213394
domain_digit_ratio,label,0.10970890242968777,0.10970890242968777
url_len,num_frag,0.10835527756749579,0.10835527756749579
num_digits,num_repeating,0.10795699420393996,0.10795699420393996
num_special,ratio_digits,0.10700417157366474,0.10700417157366474
num_dots,sus_words,0.10682732325100155,0.10682732325100155
path_depth,http_no_brand_no_age,0.10679835272569263,0.10679835272569263
num_digits,visual_brand_similarity,0.10662031578470607,0.10662031578470607
brand_mismatch,label,0.10604558039504884,0.10604558039504884
path_dots,num_underscores,0.10558423067778967,0.10558423067778967
url_entropy,tld_len,0.10527610786053024,0.10527610786053024
num_underscores,max_vowels,0.10495313445177018,0.10495313445177018
shortened,label,0.10487693327373437,0.10487693327373437
path_len,num_qmark,0.10445719201617719,0.10445719201617719
num_percent,url_entropy,0.10435441687445787,0.10435441687445787
max_domain_digits,label,0.10429671922273659,0.10429671922273659
num_qmark,has_redirect,0.10383419691938638,0.10383419691938638
num_dots,encoding_ratio,0.10325324686963916,0.10325324686963916
subdomain_parts,max_vowels,0.10305460812672387,0.10305460812672387
num_underscores,max_digits,0.10279049024027427,0.10279049024027427
